Call no.,Full list,Found,Missing,Reused
Lewis E M 28:13,mcai280131.tif; mcai280131.tif; mcai280132.tif,mcai280131.tif; mcai280131.tif; mcai280132.tif,,mcai280131.tif
Lewis E M 43:2a,mcai430021.tif; mcai430023.tif; mcai430024.tif,mcai430023.tif; mcai430024.tif,mcai430021.tif,
Lewis E M 48:24,mcai480241.tif; mcai480242.tif; mcai480242.tif,mcai480241.tif; mcai480242.tif; mcai480242.tif,,mcai480242.tif
Lewis E M 48:25-26,mcai480251.tif; mcai480251.tif; mcai480252.tif; mcai480252.tif; mcai480261.tif; mcai480262.tif,mcai480251.tif; mcai480251.tif; mcai480252.tif; mcai480252.tif,mcai480261.tif; mcai480262.tif,mcai480251.tif; mcai480252.tif
Lewis E M 65.1,mcai650011.tif; mcai650011.tif; mcai650012.tif; mcai650012.tif,mcai650011.tif; mcai650011.tif; mcai650012.tif; mcai650012.tif,,mcai650011.tif; mcai650012.tif
Lewis E M 66:1A-B,mcai660013.tif; mcai660014.tif; mcai660015.tif; mcai660015.tif; mcai660016.tif,mcai660013.tif; mcai660014.tif; mcai660015.tif; mcai660015.tif; mcai660016.tif,,mcai660015.tif
Lewis E M 66:12,mcai660121.tif; mcai660121.tif; mcai660122.tif,mcai660121.tif; mcai660121.tif; mcai660122.tif,,mcai660121.tif
Lewis E M 66:32,mcai66032da.tif,,mcai66032da.tif,
Lewis E M 68:7-9,mcai680073.tif; mcai680074.tif; mcai680075.tif; mcai680076.tif; mcai680077.tif; mcai680081.tif; mcai680082.tif; mcai680091.tif; mcai680092.tif,mcai680073.tif; mcai680074.tif; mcai680075.tif; mcai680076.tif; mcai680081.tif; mcai680082.tif; mcai680091.tif; mcai680092.tif,mcai680077.tif,
Lewis E M 68:14,mcai680141.tif; mcai680141.tif; mcai680142.tif,mcai680141.tif; mcai680141.tif; mcai680142.tif,,mcai680141.tif
Lewis E M 77:27,mcai770271.tif; mcai770271.tif,mcai770271.tif; mcai770271.tif,,mcai770271.tif
Lewis E M 77:28,mcai770281.tif; mcai770281.tif,mcai770281.tif; mcai770281.tif,,mcai770281.tif
Lewis E M 77:29,mcai770291.tif; mcai770291.tif,mcai770291.tif; mcai770291.tif,,mcai770291.tif
Lewis E M 77:30,mcai770301.tif; mcai770301.tif,mcai770301.tif; mcai770301.tif,,mcai770301.tif
Lewis T49,mcat020491.tif; mcat020492.tif; mcat020493.tif; mcat020494.tif; mcat020495.tif; mcat020496.tif; mcat020497.tif; mcat020498.tif,,mcat020491.tif; mcat020492.tif; mcat020493.tif; mcat020494.tif; mcat020495.tif; mcat020496.tif; mcat020497.tif; mcat020498.tif,
Lewis T132,mcat051321.tif; mcat051322.tif; mcat051323.tif; mcat051324.tif; mcat051325.tif; mcat051326.tif; mcat051327.tif; mcat051328.tif,mcat051321.tif; mcat051322.tif; mcat051323.tif; mcat051324.tif; mcat051325.tif; mcat051328.tif,mcat051326.tif; mcat051327.tif,
Lewis T171,mcat061711.tif; mcat061711.tif; mcat061712.tif,mcat061711.tif; mcat061711.tif; mcat061712.tif,,mcat061711.tif
Lewis T194,mcat07194a.tif; mcat07194b.tif; mcat07194c.tif; mcat07194d.tif; mcat07194e.tif; mcat07194f.tif; mcat07194g.tif; mcat07194h.tif; mcat07194i.tif; mcat07194j.tif; mcat07194k.tif; mcat07194l.tif; mcat07194m.tif; mcat07194n.tif; mcat07194o.tif; mcat07194p.tif; mcat07194q.tif; mcat07194r.tif,mcat07194a.tif; mcat07194b.tif; mcat07194c.tif; mcat07194d.tif; mcat07194e.tif; mcat07194f.tif; mcat07194g.tif; mcat07194h.tif; mcat07194i.tif; mcat07194j.tif; mcat07194k.tif; mcat07194m.tif; mcat07194n.tif; mcat07194o.tif; mcat07194p.tif; mcat07194q.tif; mcat07194r.tif,mcat07194l.tif,
Lewis T332,mcat123321.tif; mcat123321.tif; mcat123322.tif,mcat123321.tif; mcat123321.tif; mcat123322.tif,,mcat123321.tif
