Call Number/ID,image files
Lewis E M 1:2,mcai010021.tif|mcai010022.tif|
Lewis E M 1:3,mcai010031.tif|mcai010032.tif|
Lewis E M 1:4,mcai010041.tif|mcai010042.tif|
Lewis E M 1:5,mcai010051.tif|mcai010052.tif|
Lewis E M 1:6,mcai010061.tif|mcai010062.tif|
Lewis E M 1:7,mcai010071.tif|mcai010072.tif|
Lewis E M 1:8,mcai010081.tif|mcai010082.tif|
Lewis E M 1:9,mcai010091.tif|mcai010092.tif|
Lewis E M 1:10,mcai010101.tif|mcai010102.tif|
Lewis E M 1:11,mcai010111.tif|mcai010112.tif|
Lewis E M 1:12,mcai010121.tif|mcai010122.tif|
Lewis E M 1:13,mcai010131.tif|
Lewis E M 1:14,mcai010141.tif|
Lewis E M 1:15,mcai010151.tif|
Lewis E M 1:15A,mcai010153.tif|
Lewis E M 1:16,mcai010161.tif|mcai010162.tif|
Lewis E M 1:17,mcai010173.tif|mcai010174.tif|mcai010175.tif|mcai010176.tif|
Lewis E M 1:18,mcai010181.tif|mcai010182.tif|
Lewis E M 1:19,mcai010191.tif|mcai010192.tif|
Lewis E M 1:20,mcai010201.tif|mcai010202.tif|
Lewis E M 1:21,mcai010211.tif|mcai010212.tif|
Lewis E M 1:22,mcai010221.tif|mcai010222.tif|
Lewis E M 1:23,mcai010231.tif|
Lewis E M 1:24,mcai010241.tif|mcai010242.tif|
Lewis E M 1:25,mcai010251.tif|mcai010252.tif|
Lewis E M 1:26,mcai010261.tif|mcai010262.tif|
Lewis E M 1:27,mcai010271.tif|mcai010272.tif|
Lewis E M 1:28,mcai010281.tif|mcai010282.tif|
Lewis E M 1:29,mcai010291.tif|mcai010292.tif|
Lewis E M 2:1,mcai020011.tif|mcai020012.tif|
Lewis E M 2:2,mcai020021.tif|mcai020022.tif|
Lewis E M 2:3,mcai020031.tif|mcai020032.tif|
Lewis E M 2:4,mcai020041.tif|mcai020042.tif|
Lewis E M 2:5,mcai020051.tif|mcai020052.tif|
Lewis E M 2:6,mcai020061.tif|mcai020062.tif|
Lewis E M 2:7,mcai020071.tif|
